Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   1.34,   3.96,   1.10,   8.54,-0.40,-0.33, 0.88
   4.60,  12.63,   4.09,   8.91,-0.42,-0.31, 0.88
   7.86,   4.27,   4.09,   4.94,-0.40,-0.26, 0.87
  12.46,   5.43,   2.99,   4.15,-0.42,-0.27, 0.86
  18.47,   2.38,   1.28,   5.06,-0.42,-0.27, 0.85
  26.11,  -2.93,   3.72,   1.22,-0.43,-0.28, 0.86
  35.31,  10.49,   4.27,  -1.65,-0.42,-0.23, 0.86
  45.70,   2.62,  -0.06,   0.85,-0.45,-0.24, 0.87
  55.64,  -9.52,  10.55,   3.96,-0.42,-0.25, 0.87
  67.28, -11.10,  10.49,   6.71,-0.45,-0.23, 0.85
  77.97,  -9.21,   1.16,   3.17,-0.46,-0.25, 0.84
  89.54,  -6.83,  -1.22,   3.23,-0.44,-0.26, 0.85
 101.04,  -7.14,   1.71,   5.31,-0.45,-0.23, 0.86
 113.20,  -9.27,   1.59,   4.57,-0.48,-0.27, 0.85
 125.59,  -5.06,   5.37,   5.49,-0.47,-0.29, 0.85
 137.38,  -1.34,   2.62,   1.46,-0.48,-0.30, 0.82
 148.96, -11.41,   5.86,  -2.13,-0.49,-0.31, 0.83
 156.45,  -3.36,   7.87,   2.26,-0.49,-0.29, 0.83
 162.75,  -5.25,   0.43,  -1.10,-0.48,-0.31, 0.81
 166.17,  -4.45,  -3.17,  -4.57,-0.49,-0.28, 0.83
 168.99,   4.57,  -5.00, -10.80,-0.47,-0.29, 0.81
 170.62,   7.38,  -3.17,  -8.78,-0.45,-0.28, 0.83
 171.21,   5.43,  -5.12,  -6.22,-0.45,-0.26, 0.86
 171.88,   8.05,  -0.37,   3.96,-0.46,-0.27, 0.86
