Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.89,  -1.83,  -0.37,   0.12,-0.68, 0.73, 0.10
   4.01,  -0.24,  -0.18,  -0.24,-0.68, 0.72, 0.12
   7.42,  -1.28,  -0.06,   0.00,-0.68, 0.72, 0.11
  12.69,  -0.73,  -0.06,  -0.18,-0.68, 0.72, 0.12
  18.03,  -0.18,   0.00,  -0.18,-0.68, 0.72, 0.11
  23.14,   0.24,   0.12,   0.06,-0.68, 0.72, 0.11
  31.01,  -0.79,  -0.43,   0.00,-0.68, 0.72, 0.12
  39.69,   0.18,   0.92,   0.06,-0.68, 0.72, 0.12
  49.26,  -0.18,  -0.37,  -0.06,-0.68, 0.72, 0.12
  58.46,   0.37,  -0.43,  -0.55,-0.68, 0.72, 0.14
  67.51,   0.24,   0.31,  -0.06,-0.68, 0.72, 0.12
  75.29,  -0.49,  -0.55,   0.18,-0.68, 0.72, 0.11
  85.68,   0.98,   0.79,  -0.06,-0.68, 0.73, 0.11
  96.36,   0.06,  -0.12,   0.24,-0.68, 0.72, 0.12
 107.27,  -0.24,   0.31,  -0.31,-0.68, 0.72, 0.13
 115.87,   0.67,   0.43,  -0.06,-0.68, 0.72, 0.13
 127.52,  -0.06,   0.00,   0.00,-0.68, 0.72, 0.12
 137.31,  -0.55,   0.12,  -0.06,-0.68, 0.72, 0.12
 148.96,   0.00,  -0.06,  -0.18,-0.68, 0.72, 0.12
 162.68,  -0.06,  -0.24,   0.06,-0.68, 0.72, 0.13
 173.29,  -0.18,   0.43,  -0.06,-0.68, 0.72, 0.11
 185.90,  -0.49,  -0.06,   0.31,-0.68, 0.72, 0.11
 199.18,   0.31,   0.12,  -0.37,-0.68, 0.72, 0.13
 212.09,   0.31,  -0.12,   0.37,-0.68, 0.72, 0.12
 225.66,  -0.37,   0.06,  -0.31,-0.68, 0.72, 0.11
 237.46,  -0.61,  -0.06,  -0.31,-0.68, 0.72, 0.13
 250.51,   0.37,   0.37,   0.12,-0.68, 0.73, 0.11
 264.46,   1.04,   0.92,  -0.31,-0.68, 0.73, 0.11
 281.30,   0.73,   0.24,  -0.24,-0.68, 0.72, 0.12
 295.99,   0.67,   0.12,  -0.06,-0.68, 0.72, 0.13
 311.56,   0.92,   0.37,  -0.37,-0.68, 0.72, 0.15
 325.58,   0.18,   0.18,  -0.31,-0.68, 0.72, 0.14
 340.27,  -0.06,   0.00,   0.12,-0.68, 0.72, 0.13
 353.25,   0.49,   1.10,  -0.31,-0.68, 0.72, 0.13
 366.61,   0.73,  -0.12,   0.31,-0.68, 0.72, 0.13
 376.62,   0.61,   0.43,  -0.18,-0.68, 0.72, 0.14
 388.27,  -0.67,  -0.12,   0.37,-0.68, 0.72, 0.14
 401.03,  -0.06,  -0.24,  -0.24,-0.68, 0.71, 0.14
 410.89,   0.67,   0.43,   0.12,-0.68, 0.72, 0.12
 421.50,   0.00,   0.24,  -0.24,-0.68, 0.72, 0.14
 430.25,  -0.12,  -0.24,   0.06,-0.69, 0.72, 0.14
 436.34,   0.00,   0.18,   0.06,-0.68, 0.72, 0.14
 440.79,   0.73,   0.49,  -0.12,-0.68, 0.72, 0.13
 444.42,  -0.06,   0.12,  -0.18,-0.68, 0.72, 0.14
 446.06,  -4.76,   2.32,   0.85,-0.69, 0.73, 0.11
 446.35,   8.72,  10.06,  -6.65,-0.70, 0.75, 0.18
