Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.15,  -1.89,  -0.24,   0.00,-0.69, 0.72, 0.11
   1.04,  -1.28,   0.06,   0.00,-0.69, 0.72, 0.11
   3.41,  -0.43,   0.12,  -0.31,-0.69, 0.72, 0.11
   6.60,   0.18,   0.18,  -0.06,-0.69, 0.72, 0.12
  10.68,   0.06,   0.24,   0.00,-0.69, 0.72, 0.11
  15.73,  -0.12,  -0.37,  -0.12,-0.69, 0.71, 0.12
  20.40,  -0.37,  -0.12,   0.12,-0.69, 0.72, 0.12
  27.82,   0.49,   0.61,  -0.12,-0.69, 0.72, 0.12
  34.94,   0.12,  -0.18,  -0.06,-0.69, 0.72, 0.11
  43.99,  -0.85,   0.61,   0.12,-0.69, 0.71, 0.12
  53.41,  -0.43,   0.24,   0.12,-0.69, 0.72, 0.13
  63.05,  -0.24,  -0.49,   0.31,-0.69, 0.72, 0.12
  73.29,   1.77,   0.24,  -0.12,-0.69, 0.72, 0.12
  84.27,  -0.61,  -0.37,   0.43,-0.69, 0.72, 0.12
  95.84,   0.12,   0.37,  -0.31,-0.69, 0.72, 0.12
 106.53,  -0.37,  -1.04,   0.12,-0.69, 0.72, 0.13
 120.03,   0.12,  -0.37,  -0.31,-0.69, 0.72, 0.12
 131.30,   0.61,   0.61,   0.31,-0.69, 0.71, 0.12
 143.54,   1.22,  -0.24,  -0.24,-0.69, 0.72, 0.12
 155.93,   0.06,  -0.79,   0.31,-0.69, 0.71, 0.12
 168.02,   0.18,  -0.18,  -0.49,-0.69, 0.72, 0.12
 179.59,  -0.49,  -0.98,  -0.55,-0.69, 0.72, 0.13
 191.17,   0.55,   0.61,   0.00,-0.69, 0.72, 0.13
 202.52,  -0.06,   0.12,  -0.06,-0.69, 0.71, 0.12
 212.90,   0.73,  -0.43,  -0.49,-0.69, 0.72, 0.12
 226.18,  -0.98,  -0.79,  -0.61,-0.69, 0.72, 0.12
 238.42,   0.37,  -0.55,  -0.06,-0.69, 0.72, 0.12
 250.07,   1.40,   0.61,  -0.24,-0.69, 0.71, 0.12
 261.64,  -0.67,   0.18,   0.31,-0.69, 0.71, 0.13
 272.62,  -0.67,   0.67,  -0.06,-0.69, 0.72, 0.11
 284.19,  -0.73,  -0.43,   0.24,-0.69, 0.72, 0.12
 296.13,   0.37,   1.22,   0.00,-0.69, 0.71, 0.12
 307.48,   0.37,  -0.43,   0.12,-0.69, 0.71, 0.12
 318.46,   1.28,   0.06,  -0.55,-0.69, 0.72, 0.12
 330.18,   0.24,  -0.98,  -0.06,-0.69, 0.72, 0.12
 341.38,  -0.49,   0.79,   0.00,-0.69, 0.72, 0.12
 352.59,   0.00,   0.67,   0.49,-0.69, 0.72, 0.12
 363.86,  -0.06,   0.43,  -0.12,-0.69, 0.72, 0.12
 374.91,  -0.85,  -0.49,   0.37,-0.69, 0.71, 0.13
 385.45,   0.18,   0.37,  -0.06,-0.69, 0.72, 0.12
 396.72,   0.00,  -0.12,   0.00,-0.69, 0.71, 0.13
 404.14,  -0.79,   0.31,  -0.31,-0.69, 0.71, 0.13
 412.52,   0.98,   0.24,  -0.12,-0.69, 0.71, 0.13
 419.94,   0.79,  -0.18,   0.24,-0.69, 0.71, 0.14
 426.25,   0.37,   0.18,  -0.12,-0.69, 0.71, 0.14
 431.59,   0.06,  -0.12,  -0.24,-0.69, 0.72, 0.12
 436.49,   0.06,   0.00,   0.06,-0.69, 0.71, 0.12
 441.01,   0.85,  -0.06,  -0.06,-0.69, 0.71, 0.13
 443.53,  -0.12,   0.06,  -0.06,-0.69, 0.71, 0.13
 444.42,  -0.24,   0.37,   0.18,-0.69, 0.71, 0.13
