Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   3.71,   8.78,   2.87,   0.85,-0.19,-0.01, 0.97
   4.60,   7.14,  -1.46,   6.41,-0.20, 0.03, 0.97
   4.82,   3.17,  -3.36,  -1.40,-0.19, 0.04, 0.98
   6.53,   7.56,   8.17,   7.32,-0.20, 0.00, 0.97
   8.61,   2.07,   0.73,   0.55,-0.20, 0.08, 0.98
  10.68,   5.25,   3.60,   5.18,-0.21, 0.02, 0.97
  11.87,   5.80,   2.44,   0.12,-0.21, 0.07, 0.95
  13.65,   9.94,   2.74,   8.85,-0.20, 0.09, 0.96
  16.54,   6.10,   0.12,  -2.32,-0.20, 0.06, 0.97
  18.40,   0.73,   2.07,   0.49,-0.21, 0.05, 0.98
  20.70,   2.87,   1.04,   0.18,-0.21, 0.09, 0.96
  23.14,  -0.98,  -1.59,  -5.55,-0.20, 0.07, 0.96
  24.78,   5.06,   4.03,   0.06,-0.21, 0.09, 0.96
  27.00,   2.93,  -0.43,  -6.16,-0.22, 0.09, 0.96
  29.52,   3.11,  -0.12,  -2.68,-0.21, 0.10, 0.96
  31.75,  -1.46,   2.20,  -9.70,-0.22, 0.12, 0.95
  33.75,   5.43,  -5.67,  -6.59,-0.23, 0.08, 0.96
  35.90,   3.72,   2.13,  -0.67,-0.23, 0.10, 0.96
  38.28,   6.95,   1.22,  -0.37,-0.24, 0.09, 0.95
  39.91,   1.46,  -2.81,  -6.41,-0.24, 0.07, 0.97
  41.02,   2.74,   2.07,  -1.46,-0.24, 0.09, 0.97
  42.88,  -0.18,  -0.43,  -9.27,-0.24, 0.13, 0.96
  45.03,   7.69,   2.93,  -0.98,-0.25, 0.09, 0.96
  46.88,   1.83,   0.67,   2.44,-0.25, 0.12, 0.95
  50.15,   6.41,   3.42,   2.01,-0.25, 0.08, 0.95
  52.67,   6.59,   0.61,  -8.36,-0.26, 0.07, 0.96
  54.89,  -3.17,  -1.16, -14.94,-0.26, 0.13, 0.95
  56.90,   0.37,   0.55,   1.16,-0.25, 0.08, 0.95
  59.42,   2.68,   2.26,  -3.42,-0.28, 0.12, 0.93
  61.87,   4.15,   0.00,   1.04,-0.26, 0.09, 0.95
  64.83,   6.71,   4.03,   7.75,-0.28, 0.16, 0.93
  67.88,   6.16,   0.92,  -3.54,-0.27, 0.08, 0.95
  69.73,   3.05,   1.40,  -1.83,-0.28, 0.13, 0.94
  70.99,  -1.71,  -0.55,   5.43,-0.27, 0.16, 0.95
  73.74,  -2.50,   0.06,  11.22,-0.29, 0.12, 0.92
  75.89,   2.44,  -1.40,   2.44,-0.26, 0.15, 0.94
  76.93,  -4.27,  -6.95,  12.93,-0.27, 0.14, 0.93
  78.34,  -1.83,  -4.27,  -9.76,-0.26, 0.13, 0.96
  79.52,   2.01,  -4.94,  -5.31,-0.25, 0.15, 0.94
  79.97,   4.09,  -0.92,   1.34,-0.26, 0.15, 0.94
  81.23,   7.93, -10.80,   2.50,-0.28, 0.17, 0.93
  81.90,  -1.95,  -2.20,  -7.01,-0.23, 0.14, 0.97
  82.34,  -2.62,   1.89,  -3.42,-0.26, 0.16, 0.95
  83.31,   2.93,  -1.04,  -5.37,-0.24, 0.17, 0.94
  84.20,   0.67,  -3.36,  -9.76,-0.22, 0.16, 0.95
  85.53,  -5.12,  -7.99, -18.30,-0.26, 0.14, 0.95
  85.90,  -1.83,   4.70,   0.55,-0.27, 0.16, 0.94
  86.35,   7.32,  -3.05, -22.75,-0.29, 0.20, 0.93
  86.94,   6.89,  -5.25, -17.14,-0.45, 0.03, 0.89
  87.46, -16.29,   5.55, -13.91,-0.45, 0.03, 0.89
  89.31,  -4.82,   2.99,  30.87,-0.45, 0.06, 0.88
  92.13,  -0.79,  -4.45, -18.36,-0.45, 0.04, 0.88
